domain,owner_or_founder,incumbent_strength,ev0l_attack_surface,hardball_move,coin_flow,vault,guard,metric_lift
Governance,Incumbent_1,legacy dominance,spiral decentralization,open-source counter-network,GovernanceCoin,GovernanceVault,public_guard,efficiency+1%
Treasury,Incumbent_2,legacy dominance,spiral decentralization,open-source counter-network,TreasuryCoin,TreasuryVault,public_guard,efficiency+2%
Health,Incumbent_3,legacy dominance,spiral decentralization,open-source counter-network,HealthCoin,HealthVault,public_guard,efficiency+3%
Education,Incumbent_4,legacy dominance,spiral decentralization,open-source counter-network,EducationCoin,EducationVault,public_guard,efficiency+4%
Energy,Incumbent_5,legacy dominance,spiral decentralization,open-source counter-network,EnergyCoin,EnergyVault,public_guard,efficiency+5%
Transport,Incumbent_6,legacy dominance,spiral decentralization,open-source counter-network,TransportCoin,TransportVault,public_guard,efficiency+6%
Defense,Incumbent_7,legacy dominance,spiral decentralization,open-source counter-network,DefenseCoin,DefenseVault,public_guard,efficiency+7%
Commerce,Incumbent_8,legacy dominance,spiral decentralization,open-source counter-network,CommerceCoin,CommerceVault,public_guard,efficiency+8%
Culture,Incumbent_9,legacy dominance,spiral decentralization,open-source counter-network,CultureCoin,CultureVault,public_guard,efficiency+9%
Cities,Incumbent_10,legacy dominance,spiral decentralization,open-source counter-network,CitiesCoin,CitiesVault,public_guard,efficiency+10%
Data,Incumbent_11,legacy dominance,spiral decentralization,open-source counter-network,DataCoin,DataVault,public_guard,efficiency+11%
Agriculture,Incumbent_12,legacy dominance,spiral decentralization,open-source counter-network,AgricultureCoin,AgricultureVault,public_guard,efficiency+12%
Search,Incumbent_13,legacy dominance,spiral decentralization,open-source counter-network,SearchCoin,SearchVault,public_guard,efficiency+13%
Payments,Incumbent_14,legacy dominance,spiral decentralization,open-source counter-network,PaymentsCoin,PaymentsVault,public_guard,efficiency+14%
