Ritual_ID,Layer_ID,Name,Domain,Type,Phase,Required_Components,Duration_Seconds,Yield_Impact,Prerequisites
R001,1,Foundation Ceremony,CIVILIAN,Initialization,Alpha,Treasury Seal|Genesis Block,3600,1.0,None
R002,2,Shield Activation,MILITARY,Deployment,Alpha,Defense Matrix|Command Token,3600,1.0,R001
R003,3,Portal Opening,COSMIC,Activation,Alpha,Quantum Key|Void Anchor,3600,1.0,R001
R004,4,Treasury Lock,CIVILIAN,Security,Beta,Vault Key|Ledger Hash,7200,1.05,R001
R005,5,Reserve Allocation,MILITARY,Distribution,Beta,Arsenal Access|Supply Chain,7200,1.05,R002
R006,6,Dimension Binding,COSMIC,Anchoring,Beta,Spatial Marker|Time Lock,7200,1.05,R003
R007,7,Market Integration,CIVILIAN,Economic,Gamma,Trade License|Commerce Hub,10800,1.1,R004
R008,8,Armament Deploy,MILITARY,Tactical,Gamma,Weapons Cache|Combat Ready,10800,1.1,R005
R009,9,Stellar Link,COSMIC,Connection,Gamma,Star Map|Nexus Crystal,10800,1.1,R006
R010,10,Knowledge Transfer,CIVILIAN,Educational,Delta,Academy Access|Scholar Token,14400,1.15,R007
R011,11,Command Chain,MILITARY,Organizational,Delta,Officer Badge|Rank Protocol,14400,1.15,R008
R012,12,Void Transit,COSMIC,Transportation,Delta,Bridge Pass|Navigator Stone,14400,1.15,R009
R013,13,Grid Activation,CIVILIAN,Infrastructure,Epsilon,Power Node|Network Key,18000,1.2,R010
R014,14,War Mobilization,MILITARY,Operational,Epsilon,Battle Plans|Troop Movement,18000,1.2,R011
R015,15,Time Anchoring,COSMIC,Temporal,Epsilon,Chrono Marker|Era Lock,18000,1.2,R012
R016,16,Property Deed,CIVILIAN,Ownership,Zeta,Land Title|Estate Token,21600,1.25,R013
R017,17,Intel Gathering,MILITARY,Information,Zeta,Spy Network|Data Stream,21600,1.25,R014
R018,18,Forge Ignition,COSMIC,Creation,Zeta,Nebula Dust|Cosmic Fire,21600,1.25,R015
R019,19,Trade Agreement,CIVILIAN,Commerce,Eta,Contract Seal|Federation Mark,25200,1.3,R016
R020,20,Strategic Plan,MILITARY,Planning,Eta,War Map|Tactical Guide,25200,1.3,R017
R021,21,Quantum Boot,COSMIC,Computation,Eta,Processor Core|Qubit Array,25200,1.3,R018
R022,22,Heritage Preservation,CIVILIAN,Legacy,Theta,Archive Key|Culture Code,28800,1.35,R019
R023,23,Shield Reinforcement,MILITARY,Protection,Theta,Barrier Stone|Defense Protocol,28800,1.35,R020
R024,24,Wormhole Calibration,COSMIC,Passage,Theta,Tunnel Stabilizer|Exit Marker,28800,1.35,R021
R025,25,Banking Charter,CIVILIAN,Financial,Iota,Mint Authority|Reserve Note,32400,1.4,R022
R026,26,Weapons Research,MILITARY,Development,Iota,Lab Access|Tech Blueprint,32400,1.4,R023
R027,27,Singularity Fusion,COSMIC,Energy,Iota,Core Fragment|Fusion Catalyst,32400,1.4,R024
R028,28,Civic Vote,CIVILIAN,Governance,Kappa,Ballot Token|Assembly Seat,36000,1.45,R025
R029,29,Joint Command,MILITARY,Coordination,Kappa,Alliance Seal|United Front,36000,1.45,R026
R030,30,Astral Survey,COSMIC,Observation,Kappa,Telescope Array|Star Chart,36000,1.45,R027
R031,31,Labor Contract,CIVILIAN,Workforce,Lambda,Worker Badge|Union Card,39600,1.5,R028
R032,32,Supply Line,MILITARY,Logistics,Lambda,Route Map|Convoy Token,39600,1.5,R029
R033,33,Dark Matter Harvest,COSMIC,Power,Lambda,Reactor Key|Matter Vessel,39600,1.5,R030
R034,34,Healthcare Access,CIVILIAN,Wellness,Mu,Medical Token|Healer Seal,43200,1.55,R031
R035,35,Cyber Attack,MILITARY,Digital,Mu,Hack Tool|Firewall Breach,43200,1.55,R032
R036,36,Phase Shift,COSMIC,Dimension,Mu,Phase Crystal|Reality Anchor,43200,1.55,R033
R037,37,Innovation Grant,CIVILIAN,Technology,Nu,Patent License|Research Fund,46800,1.6,R034
R038,38,Elite Deployment,MILITARY,Special Ops,Nu,Covert Badge|Shadow Protocol,46800,1.6,R035
R039,39,Archive Access,COSMIC,Memory,Nu,Librarian Key|Memory Crystal,46800,1.6,R036
R040,40,Transport Route,CIVILIAN,Mobility,Xi,Transit Pass|Route License,50400,1.65,R037
R041,41,Reserve Stockpile,MILITARY,Storage,Xi,Cache Coordinates|Bunker Key,50400,1.65,R038
R042,42,Engine Ignition,COSMIC,Perpetual,Xi,Infinity Coil|Eternal Fuel,50400,1.65,R039
R043,43,Resource Optimization,CIVILIAN,Allocation,Omicron,Manager Token|Efficiency Code,54000,1.7,R040
R044,44,Tactical Supremacy,MILITARY,Dominance,Omicron,Victory Banner|Supreme Order,54000,1.7,R041
R045,45,Universal Truth,COSMIC,Fundamental,Omicron,Constant Key|Truth Stone,54000,1.7,R042
R046,46,Prosperity Blessing,CIVILIAN,Wealth,Pi,Golden Seal|Fortune Token,57600,1.75,R043
R047,47,Ultimate Shield,MILITARY,Absolute,Pi,Invincible Mark|Final Defense,57600,1.75,R044
R048,48,Omega Transcendence,COSMIC,Ascension,Pi,Omega Crystal|Convergence Key,57600,1.75,R045|R046|R047
